created_at,entry_id,field4
2022-06-11 07:11:40 UTC,2693,0.06
2022-06-11 07:12:30 UTC,2694,0.06
2022-06-11 07:13:20 UTC,2695,0.06
2022-06-11 07:14:11 UTC,2696,0.06
2022-06-11 07:15:01 UTC,2697,0.07
2022-06-11 07:15:51 UTC,2698,0.06
2022-06-11 07:16:42 UTC,2699,0.07
2022-06-11 07:17:32 UTC,2700,0.07
2022-06-11 07:18:22 UTC,2701,0.06
2022-06-11 07:19:12 UTC,2702,0.06
2022-06-11 07:20:03 UTC,2703,0.06
2022-06-11 07:20:53 UTC,2704,0.07
2022-06-11 07:21:43 UTC,2705,0.07
2022-06-11 07:22:33 UTC,2706,0.07
2022-06-11 07:23:24 UTC,2707,0.07
2022-06-11 07:24:14 UTC,2708,0.06
2022-06-11 07:25:04 UTC,2709,0.06
2022-06-11 07:25:54 UTC,2710,0.06
2022-06-11 07:26:45 UTC,2711,0.06
2022-06-11 07:27:35 UTC,2712,0.11
2022-06-11 07:28:25 UTC,2713,0.06
2022-06-11 07:29:16 UTC,2714,0.06
2022-06-11 07:30:06 UTC,2715,0.11
2022-06-11 07:30:56 UTC,2716,0.06
2022-06-11 07:31:46 UTC,2717,0.06
2022-06-11 07:32:37 UTC,2718,0.06
2022-06-11 07:33:27 UTC,2719,0.06
2022-06-11 07:34:17 UTC,2720,0.07
2022-06-11 07:35:07 UTC,2721,0.11
2022-06-11 07:35:58 UTC,2722,0.06
2022-06-11 07:36:48 UTC,2723,0.06
2022-06-11 07:37:38 UTC,2724,0.06
2022-06-11 07:38:29 UTC,2725,0.06
2022-06-11 07:39:19 UTC,2726,0.06
2022-06-11 07:40:09 UTC,2727,0.06
2022-06-11 07:40:59 UTC,2728,0.06
2022-06-11 07:41:50 UTC,2729,0.06
2022-06-11 07:42:40 UTC,2730,0.06
2022-06-11 07:43:30 UTC,2731,0.06
2022-06-11 07:44:20 UTC,2732,0.06
2022-06-11 07:45:11 UTC,2733,0.06
2022-06-11 07:46:01 UTC,2734,0.06
2022-06-11 07:46:51 UTC,2735,0.06
2022-06-11 07:47:41 UTC,2736,0.06
2022-06-11 07:48:32 UTC,2737,0.07
2022-06-11 07:49:23 UTC,2738,0.07
2022-06-11 07:50:12 UTC,2739,0.06
2022-06-11 07:51:02 UTC,2740,0.06
2022-06-11 07:51:53 UTC,2741,0.07
2022-06-11 07:52:43 UTC,2742,0.07
2022-06-11 07:53:33 UTC,2743,0.06
2022-06-11 07:54:24 UTC,2744,0.07
2022-06-11 07:55:14 UTC,2745,0.06
2022-06-11 07:56:04 UTC,2746,0.07
2022-06-11 07:56:54 UTC,2747,0.06
2022-06-11 07:57:45 UTC,2748,0.06
2022-06-11 07:58:35 UTC,2749,0.06
2022-06-11 07:59:25 UTC,2750,0.07
2022-06-11 08:00:15 UTC,2751,0.07
2022-06-11 08:01:06 UTC,2752,0.07
2022-06-11 08:01:56 UTC,2753,0.07
2022-06-11 08:02:46 UTC,2754,0.07
2022-06-11 08:03:37 UTC,2755,0.07
2022-06-11 08:04:27 UTC,2756,0.07
2022-06-11 08:05:17 UTC,2757,0.07
2022-06-11 08:06:07 UTC,2758,0.07
2022-06-11 08:06:58 UTC,2759,0.07
2022-06-11 08:07:48 UTC,2760,0.07
2022-06-11 08:08:38 UTC,2761,0.07
2022-06-11 08:09:28 UTC,2762,0.08
2022-06-11 08:10:19 UTC,2763,0.07
2022-06-11 08:11:59 UTC,2764,0.07
2022-06-11 08:12:50 UTC,2765,0.07
2022-06-11 08:13:40 UTC,2766,0.07
2022-06-11 08:14:30 UTC,2767,0.07
2022-06-11 08:15:20 UTC,2768,0.07
2022-06-11 08:16:10 UTC,2769,0.08
2022-06-11 08:17:01 UTC,2770,0.07
2022-06-11 08:17:51 UTC,2771,0.07
2022-06-11 08:18:41 UTC,2772,0.07
2022-06-11 08:20:22 UTC,2773,0.08
2022-06-11 08:21:12 UTC,2774,0.08
2022-06-11 08:22:02 UTC,2775,0.08
2022-06-11 08:22:53 UTC,2776,0.07
2022-06-11 08:23:43 UTC,2777,0.08
2022-06-11 08:24:33 UTC,2778,0.07
2022-06-11 08:25:24 UTC,2779,0.08
2022-06-11 08:26:14 UTC,2780,0.08
2022-06-11 08:27:04 UTC,2781,0.08
2022-06-11 08:27:54 UTC,2782,0.08
2022-06-11 08:28:45 UTC,2783,0.07
2022-06-11 08:29:35 UTC,2784,0.08
2022-06-11 08:30:25 UTC,2785,0.07
2022-06-11 08:31:15 UTC,2786,0.08
2022-06-11 08:32:06 UTC,2787,0.08
2022-06-11 08:32:56 UTC,2788,0.07
2022-06-11 08:33:46 UTC,2789,0.08
2022-06-11 08:34:37 UTC,2790,0.08
2022-06-11 08:35:27 UTC,2791,0.08
2022-06-11 08:36:17 UTC,2792,0.07
